pathSize;angle_to_destination;route_ID;number_of_edges
1,0;1.0;1054;11
0,771354120806532;1.0;1054;11
0,771354120806532;1.0;1054;11
0,6983362697593261;1.0;1054;11
0,32191995011776053;1.0;19;13
0,540835493725617;1.0;462;14
0,07638650022910487;1.0;270;20
0,19860137674912037;1.0;1120;13
0,20920950302283714;1.0;375;22
0,08667162329316458;1.0;375;22
0,30736937329150926;1.0;205;24
0,36580019449707923;1.0;1101;24
0,31665050083197066;1.0;1266;10
0,02652232198126936;1.0;352;75
0,06987601666735843;1.0;352;75
0,29876686214715975;1.0;243;40
0,14996054400116487;1.0;225;12
0,17575362631238467;1.0;225;12
0,7136870875725951;1.0;150;22
1,0;1.0;150;22
1,0;1.0;150;22
0,261526162571476;1.0;150;22
1,0;1.0;150;22
1,0;1.0;150;22
0,28207423087944883;1.0;491;17
AVG:0,4657062351705364
