angleToDestWeight;OmitDecisionMatrixMultifields;totalIterations;successfulIterations;secondsrun
0.0;false;12680;6335;204
0.1;false;12680;6334;204
0.2;false;12680;6332;219
0.3;false;12680;6332;201
0.4;false;12680;6330;200
0.5;false;12680;6324;212
0.6;false;12680;6331;213
0.7;false;12680;6327;202
0.8;false;12680;6330;204
0.9;false;12680;6327;207
1.0;false;12680;6325;210
2.0;false;12680;6312;205
3.0;false;12680;6295;213
4.0;false;12680;6272;213
5.0;false;12680;6224;209
6.0;false;12680;6102;228
7.0;false;12680;6023;228
8.0;false;12680;5844;219
9.0;false;12680;5697;232
10.0;false;12680;5525;233
20.0;false;12680;4417;253
30.0;false;12680;3900;26313
40.0;false;12680;3716;277
50.0;false;12680;3599;274
60.0;false;12680;3549;266
70.0;false;12680;3464;289
80.0;false;12680;3476;459
90.0;false;12680;3448;271
100.0;false;12680;3405;262
