angleToDestWeight;OmitDecisionMatrixMultifields;totalIterations;successfulIterations;secondsrun
0.0;true;12680;6330;224
0.1;true;12680;6331;197
0.2;true;12680;6330;214
0.3;true;12680;6333;205
0.4;true;12680;6329;1444
0.5;true;12680;6331;203
0.6;true;12680;6333;198
0.7;true;12680;6323;203
0.8;true;12680;6328;203
0.9;true;12680;6327;203
1.0;true;12680;6321;204
2.0;true;12680;6318;204
3.0;true;12680;6297;204
4.0;true;12680;6256;208
5.0;true;12680;6214;206
6.0;true;12680;6113;209
7.0;true;12680;5971;221
8.0;true;12680;5833;5418
9.0;true;12680;5664;222
10.0;true;12680;5478;223
20.0;true;12680;4396;250
30.0;true;12680;3912;258
40.0;true;12680;3698;363
50.0;true;12680;3544;260
60.0;true;12680;3543;257
70.0;true;12680;3462;260
80.0;true;12680;3426;257
90.0;true;12680;3407;11439
100.0;true;12680;3416;265
