modelid;route_id;number_of_repetitions;number_of_successful_routes
modelid;route_id;number_of_repetitions;number_of_successful_routes
1386172427230;64;10;10
1386172427230;75;10;10
1386172427230;549;10;10
1386172427230;81;10;10
1386172427230;1252;10;10
1386172427230;469;10;10
1386172427230;128;10;10
1386172427230;602;10;10
1386172427230;626;10;10
1386172427230;596;10;10
1386172427230;761;10;10
1386172427230;1000;10;10
1386172427230;1120;10;10
1386172427230;880;10;10
1386172427230;759;10;10
1386172427230;1188;10;10
1386172427230;302;10;10
1386172427230;317;10;10
1386172427230;358;10;10
1386172427230;363;10;10
1386172427230;987;10;10
1386172427230;825;10;10
1386172427230;87;10;10
1386172427230;939;10;10
1386172427230;203;10;10
1386172427230;508;10;10
1386172427230;1024;10;10
1386172427230;384;10;10
1386172427230;570;10;10
1386172427230;609;10;10
1386172427230;616;10;10
1386172427230;308;10;10
1386172427230;742;10;10
1386172427230;856;10;10
1386172427230;1028;10;10
1386172427230;949;10;10
1386172427230;27;10;10
1386172427230;60;10;10
1386172427230;1136;10;10
1386172427230;140;10;10
1386172427230;179;10;10
1386172427230;1067;10;10
1386172427230;408;10;10
1386172427230;838;10;10
1386172427230;635;10;10
1386172427230;1115;10;10
1386172427230;338;10;10
1386172427230;1035;10;10
1386172427230;44;10;10
1386172427230;958;10;10
1386172427230;1250;10;10
1386172427230;843;10;10
1386172427230;171;10;10
1386172427230;1022;10;10
1386172427230;257;10;10
1386172427230;6;10;10
1386172427230;123;10;10
1386172427230;216;10;10
1386172427230;1125;10;10
1386172427230;686;10;10
1386172427230;943;10;10
1386172427230;1280;10;10
1386172427230;610;10;10
1386172427230;967;10;10
1386172427230;1093;10;10
1386172427230;375;10;10
1386172427230;829;10;10
1386172427230;736;10;10
1386172427230;97;10;10
1386172427230;942;10;10
1386172427230;430;10;10
1386172427230;163;10;10
1386172427230;577;10;10
1386172427230;82;10;10
1386172427230;144;10;10
1386172427230;1087;10;10
1386172427230;1207;10;10
1386172427230;313;10;10
1386172427230;209;10;10
1386172427230;778;10;10
1386172427230;1191;10;10
1386172427230;72;10;10
1386172427230;1119;10;10
1386172427230;648;10;10
1386172427230;709;10;10
1386172427230;353;10;10
1386172427230;354;10;10
1386172427230;826;10;10
1386172427230;229;10;10
1386172427230;4;10;10
1386172427230;1166;10;10
1386172427230;934;10;10
1386172427230;515;10;10
1386172427230;190;10;10
1386172427230;165;10;10
1386172427230;1075;10;10
1386172427230;404;10;10
1386172427230;80;10;10
1386172427230;559;10;10
1386172427230;136;10;10
1386172427230;99;10;10
1386172427230;454;10;10
1386172427230;456;10;10
1386172427230;1105;10;10
1386172427230;366;10;10
1386172427230;675;10;10
1386172427230;47;10;10
1386172427230;1019;10;10
1386172427230;1151;10;10
1386172427230;748;10;10
1386172427230;196;10;10
1386172427230;927;10;10
1386172427230;1114;10;10
1386172427230;1017;10;10
1386172427230;1122;10;10
1386172427230;875;10;10
1386172427230;696;10;10
1386172427230;183;10;10
1386172427230;539;10;10
1386172427230;804;10;10
1386172427230;192;10;10
1386172427230;218;10;10
1386172427230;446;10;10
1386172427230;330;10;10
1386172427230;336;10;10
1386172427230;397;10;0
1386172427230;589;10;10
1386172427230;28;10;10
1386172427230;1005;10;10
1386172427230;754;10;10
1386172427230;816;10;10
1386172427230;728;10;10
1386172427230;198;10;10
1386172427230;1266;10;10
1386172427230;571;10;10
1386172427230;792;10;10
1386172427230;688;10;10
1386172427230;641;10;10
1386172427230;84;10;10
1386172427230;256;10;10
1386172427230;605;10;10
1386172427230;189;10;10
1386172427230;54;10;10
1386172427230;1185;10;10
1386172427230;518;10;10
1386172427230;466;10;10
1386172427230;260;10;10
1386172427230;106;10;10
1386172427230;388;10;10
1386172427230;89;10;10
1386172427230;355;10;10
1386172427230;1153;10;10
1386172427230;390;10;10
1386172427230;924;10;10
1386172427230;956;10;10
1386172427230;346;10;10
1386172427230;989;10;10
1386172427230;845;10;10
1386172427230;1160;10;10
1386172427230;785;10;10
1386172427230;178;10;10
1386172427230;400;10;10
1386172427230;700;10;10
1386172427230;647;10;10
1386172427230;1270;10;10
1386172427230;1255;10;10
1386172427230;73;10;10
1386172427230;799;10;10
1386172427230;537;10;10
1386172427230;976;10;10
1386172427230;775;10;10
1386172427230;679;10;10
1386172427230;997;10;10
1386172427230;29;10;10
1386172427230;491;10;10
1386172427230;66;10;10
1386172427230;1100;10;10
1386172427230;1042;10;10
1386172427230;1161;10;10
1386172427230;412;10;10
1386172427230;1043;10;10
1386172427230;174;10;10
1386172427230;88;10;10
1386172427230;1103;10;10
1386172427230;1212;10;10
1386172427230;795;10;10
1386172427230;744;10;10
1386172427230;232;10;10
1386172427230;756;10;10
1386172427230;1233;10;10
1386172427230;1267;10;10
1386172427230;687;10;10
1386172427230;387;10;10
1386172427230;1271;10;10
1386172427230;1218;10;10
1386172427230;1197;10;10
1386172427230;1004;10;10
1386172427230;576;10;10
1386172427230;219;10;10
1386172427230;772;10;10
1386172427230;636;10;10
1386172427230;1152;10;10
1386172427230;873;10;10
1386172427230;1032;10;10
1386172427230;1023;10;10
1386172427230;874;10;10
1386172427230;247;10;10
