modelid;route_id;number_of_repetitions;number_of_successful_routes
1386587910310;188;10;0
1386587910310;987;10;0
1386587910310;582;10;0
1386587910310;1041;10;0
1386587910310;45;10;0
1386587910310;1238;10;0
1386587910310;288;10;0
1386587910310;1207;10;0
1386587910310;737;10;0
1386587910310;636;10;0
1386587910310;672;10;0
1386587910310;1034;10;0
1386587910310;890;10;0
1386587910310;394;10;0
1386587910310;1192;10;0
1386587910310;749;10;0
1386587910310;883;10;0
1386587910310;943;10;0
1386587910310;1256;10;0
1386587910310;269;10;0
1386587910310;971;10;0
1386587910310;1003;10;0
1386587910310;417;10;0
1386587910310;230;10;0
1386587910310;1222;10;0
1386587910310;692;10;0
1386587910310;1115;10;0
1386587910310;871;10;0
1386587910310;706;10;0
1386587910310;878;10;0
1386587910310;92;10;0
1386587910310;1190;10;0
1386587910310;320;10;0
1386587910310;993;10;0
1386587910310;1108;10;0
1386587910310;1171;10;0
1386587910310;367;10;0
1386587910310;285;10;0
1386587910310;342;10;0
1386587910310;1015;10;0
1386587910310;1065;10;0
1386587910310;756;10;0
1386587910310;944;10;0
1386587910310;110;10;0
1386587910310;704;10;0
1386587910310;49;10;0
1386587910310;1164;10;0
1386587910310;395;10;0
1386587910310;399;10;0
1386587910310;1198;10;0
1386587910310;276;10;0
1386587910310;1272;10;0
1386587910310;86;10;0
1386587910310;1269;10;0
1386587910310;1057;10;0
1386587910310;862;10;0
1386587910310;238;10;0
1386587910310;1274;10;0
1386587910310;2;10;0
1386587910310;903;10;0
1386587910310;1201;10;0
1386587910310;1265;10;0
1386587910310;614;10;0
1386587910310;995;10;0
1386587910310;827;10;0
1386587910310;1232;10;0
1386587910310;812;10;0
1386587910310;1260;10;0
1386587910310;857;10;0
1386587910310;865;10;0
1386587910310;78;10;0
1386587910310;578;10;0
1386587910310;1044;10;0
1386587910310;869;10;0
1386587910310;904;10;0
1386587910310;606;10;0
1386587910310;721;10;0
1386587910310;1180;10;0
1386587910310;350;10;0
1386587910310;467;10;0
1386587910310;1273;10;0
1386587910310;762;10;0
1386587910310;826;10;0
1386587910310;789;10;0
1386587910310;1095;10;0
1386587910310;130;10;0
1386587910310;454;10;0
1386587910310;1002;10;0
1386587910310;337;10;0
1386587910310;625;10;0
1386587910310;484;10;0
1386587910310;413;10;0
1386587910310;610;10;0
1386587910310;740;10;0
1386587910310;317;10;0
1386587910310;1156;10;0
1386587910310;1218;10;0
1386587910310;410;10;0
1386587910310;389;10;0
1386587910310;286;10;0
1386587910310;634;10;0
1386587910310;667;10;0
1386587910310;450;10;0
1386587910310;714;10;0
1386587910310;1121;10;0
1386587910310;602;10;0
1386587910310;29;10;0
1386587910310;197;10;0
1386587910310;537;10;0
1386587910310;540;10;0
1386587910310;1183;10;0
1386587910310;21;10;0
1386587910310;163;10;0
1386587910310;711;10;0
1386587910310;1092;10;0
1386587910310;716;10;0
1386587910310;632;10;0
1386587910310;1136;10;0
1386587910310;257;10;0
1386587910310;38;10;0
1386587910310;427;10;0
1386587910310;915;10;0
1386587910310;579;10;0
1386587910310;515;10;0
1386587910310;382;10;0
1386587910310;144;10;0
1386587910310;42;10;0
1386587910310;1155;10;0
1386587910310;184;10;0
1386587910310;494;10;0
1386587910310;1074;10;0
1386587910310;554;10;0
1386587910310;31;10;0
1386587910310;689;10;0
1386587910310;1228;10;0
1386587910310;1176;10;0
1386587910310;937;10;0
1386587910310;959;10;0
1386587910310;1010;10;0
1386587910310;912;10;0
1386587910310;1011;10;0
1386587910310;1203;10;0
1386587910310;1114;10;0
1386587910310;167;10;0
1386587910310;420;10;0
1386587910310;327;10;0
1386587910310;1279;10;0
1386587910310;476;10;0
1386587910310;406;10;0
1386587910310;191;10;0
1386587910310;1073;10;0
1386587910310;193;10;0
1386587910310;1163;10;0
1386587910310;287;10;0
1386587910310;596;10;0
1386587910310;341;10;1
1386587910310;273;10;0
1386587910310;816;10;0
1386587910310;255;10;0
1386587910310;208;10;0
1386587910310;48;10;0
1386587910310;911;10;0
1386587910310;893;10;0
1386587910310;560;10;0
1386587910310;479;10;0
1386587910310;848;10;0
1386587910310;40;10;0
1386587910310;804;10;0
1386587910310;884;10;0
1386587910310;811;10;0
1386587910310;56;10;0
1386587910310;124;10;0
1386587910310;1054;10;2
1386587910310;12;10;0
1386587910310;214;10;0
1386587910310;520;10;0
1386587910310;74;10;0
1386587910310;908;10;0
1386587910310;1123;10;0
1386587910310;305;10;0
1386587910310;344;10;0
1386587910310;363;10;0
1386587910310;728;10;0
1386587910310;595;10;0
1386587910310;408;10;1
1386587910310;1266;10;0
1386587910310;824;10;0
1386587910310;424;10;0
1386587910310;760;10;0
1386587910310;335;10;0
1386587910310;1181;10;0
1386587910310;245;10;0
1386587910310;1225;10;0
1386587910310;821;10;0
1386587910310;328;10;0
1386587910310;83;10;0
1386587910310;428;10;0
1386587910310;1042;10;0
1386587910310;576;10;0
1386587910310;1137;10;0
1386587910310;148;10;0
1386587910310;650;10;0
1386587910310;174;10;0
1386587910310;452;10;0
1386587910310;724;10;0
1386587910310;475;10;0
1386587910310;975;10;0
1386587910310;226;10;0
1386587910310;352;10;0
1386587910310;209;10;0
1386587910310;390;10;0
1386587910310;79;10;0
1386587910310;736;10;0
1386587910310;1275;10;0
1386587910310;985;10;0
1386587910310;5;10;0
1386587910310;122;10;0
1386587910310;343;10;0
1386587910310;69;10;0
1386587910310;466;10;0
1386587910310;952;10;0
1386587910310;196;10;0
1386587910310;615;10;0
1386587910310;873;10;0
1386587910310;1193;10;0
1386587910310;538;10;0
1386587910310;1109;10;0
1386587910310;854;10;0
1386587910310;546;10;0
1386587910310;880;10;0
1386587910310;577;10;0
1386587910310;1080;10;0
1386587910310;426;10;0
1386587910310;318;10;0
1386587910310;1246;10;0
1386587910310;920;10;0
1386587910310;117;10;0
1386587910310;472;10;0
1386587910310;649;10;0
1386587910310;347;10;0
1386587910310;572;10;0
1386587910310;405;10;1
1386587910310;699;10;0
1386587910310;101;10;0
1386587910310;142;10;0
1386587910310;790;10;0
1386587910310;1172;10;0
1386587910310;922;10;0
1386587910310;675;10;0
1386587910310;981;10;0
1386587910310;630;10;0
1386587910310;950;10;0
1386587910310;1049;10;0
1386587910310;290;10;0
1386587910310;766;10;0
1386587910310;104;10;0
1386587910310;673;10;0
1386587910310;678;10;0
1386587910310;464;10;0
1386587910310;482;10;0
1386587910310;1119;10;0
1386587910310;764;10;0
1386587910310;518;10;0
1386587910310;626;10;0
1386587910310;1094;10;0
1386587910310;1185;10;0
1386587910310;819;10;0
1386587910310;32;10;0
1386587910310;112;10;0
1386587910310;1091;10;0
1386587910310;633;10;0
1386587910310;1263;10;0
1386587910310;559;10;1
1386587910310;296;10;0
1386587910310;1100;10;0
1386587910310;718;10;0
1386587910310;132;10;0
1386587910310;1184;10;0
1386587910310;1162;10;0
1386587910310;909;10;0
1386587910310;1138;10;0
1386587910310;803;10;0
1386587910310;1045;10;0
1386587910310;1048;10;0
1386587910310;1006;10;0
1386587910310;1135;10;0
1386587910310;94;10;0
1386587910310;91;10;0
1386587910310;151;10;0
1386587910310;1179;10;0
1386587910310;584;10;0
1386587910310;444;10;0
1386587910310;1158;10;0
1386587910310;841;10;0
1386587910310;541;10;0
1386587910310;918;10;0
1386587910310;526;10;0
1386587910310;169;10;0
1386587910310;843;10;0
