modelid;route_id;number_of_repetitions;number_of_successful_routes
1386593711577;201;10;0
1386593711577;262;10;1
1386593711577;796;10;0
1386593711577;1006;10;0
1386593711577;1161;10;2
1386593711577;368;10;5
1386593711577;1134;10;0
1386593711577;935;10;5
1386593711577;1208;10;4
1386593711577;1055;10;2
1386593711577;190;10;4
1386593711577;861;10;0
1386593711577;26;10;6
1386593711577;1095;10;0
1386593711577;309;10;0
1386593711577;894;10;1
1386593711577;1123;10;0
1386593711577;589;10;2
1386593711577;526;10;0
1386593711577;252;10;2
1386593711577;5;10;4
1386593711577;136;10;0
1386593711577;1054;10;10
1386593711577;810;10;1
1386593711577;114;10;0
1386593711577;816;10;3
1386593711577;186;10;0
1386593711577;707;10;0
1386593711577;727;10;0
1386593711577;359;10;1
1386593711577;31;10;1
1386593711577;829;10;2
1386593711577;363;10;6
1386593711577;303;10;5
1386593711577;1093;10;4
1386593711577;1071;10;2
1386593711577;1195;10;2
1386593711577;354;10;1
1386593711577;883;10;1
1386593711577;510;10;1
1386593711577;1026;10;1
1386593711577;305;10;4
1386593711577;1049;10;0
1386593711577;966;10;4
1386593711577;968;10;7
1386593711577;157;10;0
1386593711577;793;10;3
1386593711577;575;10;4
1386593711577;468;10;2
1386593711577;273;10;3
1386593711577;83;10;2
1386593711577;838;10;0
1386593711577;73;10;6
1386593711577;58;10;3
1386593711577;1273;10;1
1386593711577;1246;10;4
1386593711577;915;10;0
1386593711577;325;10;3
1386593711577;798;10;3
1386593711577;806;10;0
1386593711577;802;10;0
1386593711577;179;10;6
1386593711577;1175;10;4
1386593711577;1170;10;0
1386593711577;436;10;1
1386593711577;541;10;2
1386593711577;351;10;4
1386593711577;545;10;3
1386593711577;156;10;0
1386593711577;941;10;2
1386593711577;601;10;8
1386593711577;1051;10;2
1386593711577;746;10;1
1386593711577;1239;10;0
1386593711577;379;10;0
1386593711577;505;10;0
1386593711577;78;10;1
1386593711577;127;10;5
1386593711577;640;10;2
1386593711577;594;10;2
1386593711577;953;10;1
1386593711577;1087;10;1
1386593711577;47;10;1
1386593711577;603;10;1
1386593711577;511;10;6
1386593711577;276;10;2
1386593711577;977;10;9
1386593711577;895;10;1
1386593711577;562;10;4
1386593711577;314;10;1
1386593711577;789;10;3
1386593711577;1046;10;1
1386593711577;27;10;7
1386593711577;218;10;3
1386593711577;776;10;1
1386593711577;924;10;6
1386593711577;210;10;1
1386593711577;65;10;1
1386593711577;383;10;1
1386593711577;481;10;0
1386593711577;1128;10;0
1386593711577;124;10;1
1386593711577;1254;10;0
1386593711577;1141;10;4
1386593711577;206;10;0
1386593711577;1043;10;0
1386593711577;988;10;0
1386593711577;756;10;5
1386593711577;815;10;1
1386593711577;619;10;0
1386593711577;160;10;0
1386593711577;766;10;5
1386593711577;670;10;0
1386593711577;349;10;4
1386593711577;1105;10;0
1386593711577;57;10;1
1386593711577;549;10;0
1386593711577;355;10;2
1386593711577;710;10;1
1386593711577;321;10;2
1386593711577;63;10;1
1386593711577;803;10;0
1386593711577;170;10;2
1386593711577;755;10;6
1386593711577;908;10;0
1386593711577;106;10;0
1386593711577;377;10;1
1386593711577;1209;10;0
1386593711577;887;10;3
1386593711577;209;10;4
1386593711577;1253;10;7
1386593711577;399;10;0
1386593711577;614;10;0
1386593711577;250;10;7
1386593711577;1059;10;0
1386593711577;1028;10;4
1386593711577;135;10;1
1386593711577;269;10;0
1386593711577;822;10;3
1386593711577;1114;10;1
1386593711577;826;10;2
1386593711577;299;10;7
1386593711577;434;10;6
1386593711577;374;10;4
1386593711577;479;10;0
1386593711577;1230;10;2
1386593711577;687;10;1
1386593711577;131;10;0
1386593711577;161;10;0
1386593711577;41;10;5
1386593711577;310;10;0
1386593711577;591;10;7
1386593711577;275;10;1
1386593711577;504;10;1
1386593711577;1012;10;6
1386593711577;586;10;1
1386593711577;667;10;6
